age,normalization,n_regions,r,r_squared,p_value,correlation_method,analysis_type
p3,none,8,0.6852389889537851,0.46955247198240563,0.06071603488676875,Pearson,complete_pairs
p12,none,8,-0.0949216091302912,0.009010111879883782,0.8230881610518979,Pearson,complete_pairs
p20,none,7,-0.3171247248181267,0.10056809109097259,0.4882902346833018,Pearson,complete_pairs
p3,none,8,-0.1489661060040972,0.022190900738023926,0.7247931577251641,Pearson,averaged_replicates
p12,none,8,0.09194888504036314,0.008454597460165915,0.8285651143643407,Pearson,averaged_replicates
p20,none,8,0.7711752138188497,0.5947112104085486,0.025048274794400006,Pearson,averaged_replicates
adult,none,8,-0.09708925726895565,0.009426323877037457,0.8190984010047893,Pearson,averaged_replicates
p3,none,8,-0.14896610600409743,0.022190900738023992,0.7247931577251637,Pearson,imputed_data
p12,none,8,0.09194888504036311,0.00845459746016591,0.8285651143643407,Pearson,imputed_data
p20,none,8,0.7711752138188497,0.5947112104085486,0.025048274794400006,Pearson,imputed_data
adult,none,8,-0.09708925726895548,0.009426323877037424,0.8190984010047895,Pearson,imputed_data
p3,log,8,0.6454046040513066,0.41654710293062386,0.08392372226192998,Pearson,complete_pairs
p12,log,8,-0.09302427638131741,0.008653515996267729,0.8265831033765015,Pearson,complete_pairs
p20,log,7,-0.4581134993333061,0.20986797827140705,0.30125382234159875,Pearson,complete_pairs
p3,log,8,-0.16415690972748556,0.026947491011277844,0.6976906133068836,Pearson,averaged_replicates
p12,log,8,0.09602474632440211,0.009220751906665776,0.8210573145046314,Pearson,averaged_replicates
p20,log,8,0.7164215378618203,0.5132598199122956,0.04557349027808525,Pearson,averaged_replicates
adult,log,8,-0.08364388610654265,0.006996299683004278,0.8438976753356331,Pearson,averaged_replicates
p3,log,8,-0.1685434463344628,0.028406893302297943,0.6899147803433457,Pearson,imputed_data
p12,log,8,0.09621028815357444,0.009256419546593826,0.8207158219182955,Pearson,imputed_data
p20,log,8,0.722737491689278,0.5223494818933092,0.04281982537836392,Pearson,imputed_data
adult,log,8,-0.08953396203887064,0.008016330358377928,0.8330188308528421,Pearson,imputed_data
p3,zscore,8,0.9994453349932607,0.9988909776397912,4.2643380721537356e-10,Pearson,complete_pairs
p12,zscore,8,-0.09049782210907045,0.008189855806484962,0.8312407624276277,Pearson,complete_pairs
p20,zscore,7,0.9999999999999998,0.9999999999999996,1.411088991461081e-39,Pearson,complete_pairs
p3,zscore,8,-0.23465367355752106,0.05506234651403966,0.5759083003510918,Pearson,averaged_replicates
p12,zscore,8,-0.2936894265841716,0.08625347928733951,0.4801776373947278,Pearson,averaged_replicates
p20,zscore,8,0.21976785241099567,0.04829790895334118,0.6010109426998523,Pearson,averaged_replicates
adult,zscore,8,-0.5027564534833587,0.25276405151916465,0.20413474419532568,Pearson,averaged_replicates
p3,zscore,8,0.40599785288652,0.16483425654846434,0.31827030744839335,Pearson,imputed_data
p12,zscore,8,-0.14395189133918868,0.020722147020129585,0.7337957638076824,Pearson,imputed_data
p20,zscore,8,0.030725109712155654,0.0009440323668240018,0.9424266658939628,Pearson,imputed_data
adult,zscore,8,0.6758008378566622,0.4567067724477667,0.06581722864191979,Pearson,imputed_data
p3,robust,8,0.3659625273557,0.13392857142857148,0.3726247270244952,Spearman,complete_pairs
p12,robust,8,0.22360679774997896,0.049999999999999996,0.5945030477052726,Spearman,complete_pairs
p20,robust,7,0.6756639246921762,0.4565217391304347,0.09571714697092193,Spearman,complete_pairs
p3,robust,8,0.0,0.0,1.0,Spearman,averaged_replicates
p12,robust,8,0.45,0.2025,0.2632364453124999,Spearman,averaged_replicates
p20,robust,8,0.5714285714285714,0.32653061224489793,0.13895995716070675,Spearman,averaged_replicates
adult,robust,8,-0.1757499100654987,0.030888030888030882,0.6771917502669698,Spearman,averaged_replicates
p3,robust,8,0.24743582965269675,0.061224489795918366,0.554646423221937,Spearman,imputed_data
p12,robust,8,,,,Spearman,imputed_data
p20,robust,8,-0.40290331480527813,0.16233108108108105,0.3223295512049657,Spearman,imputed_data
adult,robust,8,,,,Spearman,imputed_data
p3,combined,8,0.9990591854271136,0.9981192559862877,2.0803941449737435e-09,Pearson,complete_pairs
p12,combined,8,-0.4862467862450373,0.236435937133627,0.22180173976417192,Pearson,complete_pairs
p20,combined,7,0.9999999999999999,0.9999999999999998,0.0,Pearson,complete_pairs
p3,combined,8,0.13331206045927926,0.01777210546389853,0.7529856417694563,Pearson,averaged_replicates
p12,combined,8,-0.027028967612558408,0.0007305650902007314,0.9493453633418885,Pearson,averaged_replicates
p20,combined,8,-0.11419079596523815,0.01303953788317465,0.7877462206490089,Pearson,averaged_replicates
adult,combined,8,0.15375578651698585,0.023640841887456927,0.7162193208985395,Pearson,averaged_replicates
p3,combined,8,-0.08489653541973904,0.007207421726275006,0.8415821987124985,Pearson,imputed_data
p12,combined,8,-0.20451963872927315,0.0418282826259524,0.6270848732108822,Pearson,imputed_data
p20,combined,8,-0.10030342068449105,0.010060776201009987,0.8131886918135394,Pearson,imputed_data
adult,combined,8,-0.22778837738448696,0.05188754487145745,0.587441037497973,Pearson,imputed_data
